state,labeler_code,total_prescriptions,total_medicaid_spending,drug_count
AK,00065,27.0,5767.96,1
AK,00008,25.0,2046.45,1
AK,70000,25.0,1464.98,2
AK,25682,23.0,1455854.4,1
AK,69911,23.0,840720.09,1
AK,59385,23.0,14627.310000000001,1
AK,00703,23.0,435.89,2
AK,83634,22.0,409.64,1
AK,63402,21.0,18033.6,1
AK,76075,19.0,66820.12,1
AK,71921,19.0,733.78,1
AK,76329,19.0,269.69,1
AK,00562,18.0,1958.11,1
AK,72572,17.0,676.08,1
AK,82625,15.0,6366.53,1
AK,69547,15.0,759.82,1
AK,59922,14.0,17514.33,1
AK,43066,14.0,31.0,1
AK,72606,13.0,45578.37,1
AK,80610,13.0,10993.26,1
AK,69751,13.0,4647.36,1
AK,66215,12.0,157017.36,1
AK,63459,12.0,36328.34,1
AK,68308,12.0,469.29,1
AK,75826,12.0,298.9,1
AK,69339,12.0,153.28,1
AK,76961,11.0,49995.0,1
AK,69616,11.0,13455.42,1
AK,43068,11.0,9748.16,1
AK,70515,11.0,7747.88,1
AK,00944,11.0,5542.73,1
AK,62856,11.0,3548.65,1
AK,00037,11.0,2876.28,1
AK,51754,11.0,2473.04,1
AK,73043,11.0,1533.88,1
AK,59676,11.0,1158.3,1
AK,00049,11.0,980.31,1
AK,65250,11.0,966.97,1
AK,69230,11.0,246.16,1
AK,24689,11.0,188.27,1
AL,65862,261413.0,3614609.43,106
AL,16714,197896.0,2890760.26,129
AL,31722,165733.0,3249319.57,88
AL,00093,157493.0,4291402.34,72
AL,68180,146011.0,3183391.23,70
AL,29300,134991.0,1434766.22,35
AL,60505,106439.0,2366983.71,68
AL,68462,104160.0,1698910.6,59
AL,68382,92692.0,1436453.03,57
AL,16571,79890.0,1203068.3,35
AL,45802,76736.0,1391275.62,39
AL,00143,76736.0,1092039.84,28
AL,59651,75938.0,2113287.38,81
AL,67877,75526.0,1209737.92,55
AL,70010,73681.0,1545338.52,27
AL,00121,72675.0,1721700.6099999999,20
AL,57237,63225.0,811224.58,28
AL,00054,63013.0,1566230.85,36
AL,62332,60142.0,890273.1,62
AL,43547,58617.0,886919.08,37
AL,00406,56522.0,1497294.36,17
AL,42806,56144.0,863254.29,33
AL,51672,55378.0,1324984.27,51
AL,55111,54231.0,758778.61,38
AL,69097,52557.0,1346748.2,39
AL,00378,49177.0,1911647.56,80
AL,66993,49016.0,7356007.56,17
AL,50458,47995.0,43468133.96,15
AL,27241,47109.0,1174422.7,27
AL,65162,45006.0,1385656.88,55
AL,68645,44984.0,392206.6,15
AL,00409,44119.0,567545.55,43
AL,00781,43756.0,7773535.18,38
AL,13668,40156.0,577090.06,29
AL,70710,39410.0,1160887.53,36
AL,43598,39195.0,760719.28,39
AL,00169,37011.0,29281893.64,26
AL,63323,36593.0,415709.57,41
AL,50111,36014.0,394827.54,6
AL,68001,35583.0,483908.24,57
AL,00002,33936.0,34044513.45,20
AL,64380,33178.0,438752.99,32
AL,72205,31988.0,1235549.08,31
AL,23155,31538.0,487077.37,52
AL,50228,30477.0,398284.22,27
AL,00228,29662.0,482247.84,13
AL,72603,28778.0,455150.35,58
AL,00597,26492.0,14694614.21,15
AL,69452,26065.0,471058.03,35
AL,70954,25928.0,743348.87,35
AL,64980,25473.0,602231.21,27
AL,00115,25344.0,1410077.66,20
AL,72888,25167.0,413868.08,41
AL,59417,25117.0,9436835.41,8
