product_name,total_units,total_prescriptions,total_medicaid_spending,total_non_medicaid_spending,total_reimbursed,ndc_count,labeler_count
INGREZZA 4,478520.0,16434.0,119300720.99,514691.66000000003,119815412.64999999,1,1
TREMFYA 1X,9046.01,8917.0,118748467.09,2208622.82,120957089.91,1,1
GABAPENTIN,865346311.425,9074785.0,118560987.3,1831457.22,120392444.52,257,38
UBRELVY,1143553.0,94248.0,118282641.02,808421.25,119091062.27,5,1
ABILIFY AS,68795.767,22751.0,117647582.07,647265.51,118294847.58,2,1
XARELTO (R,6723050.0,180053.0,116757435.09,2385955.59,119143390.68,11,1
BRIVIACT,9943843.4,69536.0,115399678.46,6368296.05,121767974.51,8,1
METFORMIN,700101696.746,7024387.0,113334178.6,773857.45,114108036.05,227,43
LISDEXAMFE,23721154.0,798526.0,112979507.01,6859597.91,119839104.92,124,15
METHYLPHEN,127679402.23,3004393.0,110773773.31,4781647.81,115555421.12,140,30
OCREVUS,76421.496,4372.0,110508637.61,23337858.82,133846496.42999999,1,1
OPDIVO,480112.84,16540.0,109821544.43,22211264.36,132032808.79,4,1
MOUNJARO 7,219172.0,107287.0,109542287.14,4449730.45,113992017.59,2,1
CAPLYTA,2030453.0,66513.0,109315243.87,1738289.41,111053533.28,4,1
BIMZELX AU,14155.0,5497.0,109285254.1,843108.19,110128362.28999999,3,1
VIVITROL (,70419.743,72267.0,107980829.38,579648.8,108560478.18,1,1
VYVANSE 30,8674361.28,288391.0,107894073.11,2150816.09,110044889.2,2,1
OZEMPIC 2,345307.0,108889.0,106472644.76,2506996.9,108979641.66,2,1
CABENUVA,102909.0,18759.0,106436836.32000001,1776389.37,108213225.69,2,1
SPRAVATO N,233164.55,69196.0,106379263.9,1509680.64,107888944.53999999,3,1
JANUVIA 10,9619110.0,222956.0,105332357.93,1525186.72,106857544.65,5,1
LINZESS 14,5937507.0,167698.0,105271741.76,2688901.2800000003,107960643.04,1,1
BUDESONIDE,61409821.747,916018.0,104665659.96,7088617.25,111754277.21,49,20
IBUPROFEN,716879806.26,9767064.0,104459231.06,1215908.81,105675139.87,184,37
HUMIRA - A,31379.175,12873.0,104104406.82000001,1061943.72,105166350.53999999,2,1
LIDOCAINE,101380613.472,2423428.0,102525966.62,17080660.29,119606626.91,231,53
LANTUS SOL,15827627.136,992456.0,102042513.17,1091582.93,103134096.1,3,1
DOVATO TAB,1022975.0,29455.0,101458764.86,643553.53,102102318.39,2,1
ELIQUIS 5,10770132.5,165800.0,100557648.02,3752087.52,104309735.54,4,1
ADVAIR HFA,3591695.283,275994.0,99530789.4,1906065.6300000001,101436855.03,5,1
ENBREL 50,52158.72,12741.0,98363801.2,1210752.42,99574553.62,3,1
JANUVIA,9099513.0,224287.0,98116607.56,1419753.82,99536361.38,13,1
ANORO ELLI,12473058.467,194790.0,97665139.4,1145521.16,98810660.56,2,1
LANTUS 3ML,14831946.677000001,905678.0,97607220.18,1234541.05,98841761.23,2,1
TRESIBA FL,2334520.725,148217.0,97323991.45,4016372.8,101340364.25,2,1
OZEMPIC 1,317878.8,101107.0,97198086.84,2865869.58,100063956.42,2,1
VYVANSE 40,7745401.0,261528.0,96091895.15,2083799.0799999998,98175694.23,2,1
FASENRA PE,17044.217,17161.0,95944785.76,1236531.86,97181317.62,1,1
ONDANSETRO,155800175.197,8311432.0,95099092.04,56211509.27,151310601.31,131,41
ADDERALL X,13959568.88,408823.0,94993798.72,715816.9,95709615.62,6,1
ATORVASTAT,458630542.373,9103951.0,94901840.45,1133176.58,96035017.03,254,31
ENTYVIO 30,30643.032,14475.0,94830427.54,8171179.53,103001607.07,1,1
OTEZLA (AP,1145492.0,19586.0,94666023.39,1099348.92,95765372.31,3,1
MOUNJARO 2,187297.0,94126.0,94277526.86,3335523.19,97613050.05,1,1
EVRYSDI,556687.0,4069.0,93422269.61,8198836.25,101621105.86,2,1
TALTZ AUTO,13508.0,11653.0,93286443.95,1115426.05,94401870.0,3,1
AUVELITY,4998747.0,92017.0,92906051.87,990791.41,93896843.28,2,1
DEXTROAMPH,142788239.54,3342234.0,92393110.98,1652217.72,94045328.7,204,28
EMGALITY,133290.0,118991.0,91901004.81,2407115.3,94308120.11,4,1
KISQALI,294161.0,5610.0,91663520.68,1283136.04,92946656.72,3,1
FINTEPLA 2,1856400.0,7520.0,91374220.72,10801407.65,102175628.37,1,1
DICLOFENAC,279174286.127,2683428.0,90435019.99,461502.61,90896522.6,121,49
MIRENA,76102.452,77683.0,87889002.82,4934937.24,92823940.06,2,1
EVRYSDI (R,562800.0,4028.0,87740670.08,11749838.12,99490508.2,2,1
EXONDYS-51,107158.2,3507.0,87735003.5,1464044.73,89199048.23,2,1
DAPAGLIFLO,6282592.0,175369.0,87667552.44,741996.03,88409548.47,4,1
JORNAY PM,6058740.0,205681.0,87218636.94,3857458.54,91076095.48,5,1
BOTOX BOTU,137121.07,126160.0,86890655.12,17921349.34,104812004.46,2,1
CRYSVITA,7398.397,2963.0,86501076.82000001,1388470.26,87889547.08,4,2
ARISTADA,93822.059,31698.0,86423890.78,1406015.08,87829905.86,4,1
OTEZLA,1008767.0,16183.0,85571818.34,1208289.54,86780107.88,3,1
INSULIN AS,10421709.572,472058.0,84866433.8,1201746.09,86068179.89,7,1
TRADJENTA,4980853.0,128432.0,84428908.28,1059412.44,85488320.72,3,1
